Citykey;city;cityname;rb;hmb;se_agr_for;rel_agr_for;se_min;rel_min;se_craft;rel_craft;se_fac_man;rel_fac_man;se_sum_ind;rel_sum_ind;se_trd;rel_trd;se_litrd;rel_litrd;se_pas_carg_pos;_pas_carg_pos;se_sum_trd_ser;rel_sum_trd_ser;se_ad_jud;rel_ad_jud;se_hea;rel_hea;se_edu;rel_edu;se_art;rel_art;se_arm;rel_arm;se_cor;rel_cor;se_hou;rel_hou;se_sum_IV;rel_sum_IV;se_oth;rel_oth;se_sum;rel_sum;sum;con_sum
;Dippoldiswalde;Dippoldiswalde;Dresden;Dresden;156;80;4;15;772;841;114;112;890;986;79;104;7;2;52;72;138;178;56;91;13;25;12;16;18;5;0;0;0;0;108;11;207;148;79;47;1470;1421;2891;2909
;Dresden;Dresden;Dresden;Dresden;1032;808;13;19;28851;25866;1805;1971;30669;27856;4018;5231;761;855;3711;5413;8490;11499;2584;4780;468;560;3603;1567;931;1153;4297;1583;469;848;10549;1727;22901;12218;7143;5536;70235;57917;128152;128152
;Radeberg;Radeberg;Dresden;Dresden;120;103;0;0;629;813;156;255;785;1068;59;104;4;5;76;146;139;255;38;76;13;25;9;10;13;6;135;56;0;0;72;0;280;173;84;60;1408;1659;3067;3067
;Radeburg;Radeburg;Dresden;Dresden;180;142;0;0;579;880;66;106;645;986;32;40;0;0;37;42;69;82;23;52;11;12;6;19;8;9;0;0;0;0;42;0;90;92;67;41;1051;1343;2394;2394
;Wilsdruff;Wilsdruff;Dresden;Dresden;156;78;0;0;616;910;67;99;683;1009;59;87;3;5;56;78;118;170;29;49;12;16;10;22;18;4;1;0;0;0;68;2;138;93;77;40;1172;1390;2562;2562
;Großenhain;Grossenhain;Meissen;Dresden;143;190;6;11;1507;1856;1071;1625;2584;3492;195;320;7;10;142;250;344;580;99;165;22;30;31;46;15;30;279;121;0;0;327;14;773;406;267;209;4111;4877;8988;8988
;Lommatzsch;Lommatzsch;Meissen;Dresden;29;30;2;5;772;1165;73;126;847;1296;83;135;5;3;41;73;129;211;29;57;15;17;17;19;29;17;0;0;0;0;79;1;169;111;101;43;1275;1691;2966;2966
;Meissen;Meissen;Meissen;Dresden;84;92;4;7;2450;2894;405;682;2859;3583;267;388;41;44;171;277;479;709;144;256;32;28;241;128;49;44;0;0;0;0;456;16;922;472;409;277;4753;5133;9886;9886
;Nossen;Nossen;Meissen;Dresden;69;52;33;77;1126;1547;101;163;1260;1787;119;202;3;2;74;117;196;321;52;95;19;27;70;50;19;8;0;0;0;0;133;28;293;208;159;82;1977;2450;4427;4427
;Riesa;Riesa;Meissen;Dresden;270;276;12;24;861;1293;75;98;948;1415;118;177;7;9;206;435;331;621;58;112;15;27;16;27;9;1;87;25;0;0;185;18;370;210;116;60;2035;2582;4617;4617
;Gottleuba;Gottleuba;Pirna;Dresden;143;111;32;86;392;569;26;25;450;680;23;36;0;0;24;41;47;77;17;35;8;10;7;15;0;0;0;0;0;0;23;0;55;60;66;17;761;945;1706;1706
